step,mo,inflow,precip,evap,released,supplied,storage,% full,% redu,deficit
0,1,229.3325179156435,820.5963005951198,2089.593770495412,368.9595004132611,5270.733034330449,124839.23251327164,1.0868923022170478,1.0,0.0
1,2,10057.238739486613,3894.039720614499,40.993387685361085,2598.021293112565,4756.996292574832,131394.5,1.1439646634200158,1.0,0.0
2,3,3646.024685322256,2148.2528890083777,5267.117656641494,368.9595004132611,7498.984806880201,124053.71561039567,1.080053328139676,1.0,0.0
3,4,6917.994679209563,2826.803933719013,766.1665058515355,595.0959684084856,4885.06714789867,127552.18460116556,0.9698414847753885,1.0,0.0
4,5,4842.6707622245085,3184.130036173068,1142.13109994361,614.9325006887685,5027.439446868768,128794.48235206197,0.9792872806198878,1.0,0.0
5,6,7122.773940938851,3049.942430382376,15.768713935263804,2438.3213108700756,5118.608698577836,131394.5,0.9990564831937447,1.0,0.0
6,7,5043.930102133827,2198.8679705142276,1934.9613523227163,843.5550532641992,4464.281667061145,131394.5,0.9990564831937447,1.0,0.0
7,8,11267.183509575441,4119.4087773891515,-13.757365711586317,9772.28334576365,5628.066306912524,131394.5,0.9990564831937447,1.0,0.0
8,9,11074.8534883955,3864.510077732324,2416.6409844259033,7881.821580169952,4640.901001531984,131394.5,1.1439646634200158,1.0,0.0
9,10,7581.709181928634,5300.442754054937,4050.3540087690926,4107.503971803806,4724.293955410667,131394.5,1.1439646634200158,1.0,0.0
10,11,3786.293788477736,1339.2547282387968,3917.3507832931064,357.05758104509135,6412.246814844877,125833.39333753347,1.0955478003749772,1.0,0.0
11,12,12603.825092356548,4260.290209926898,2052.0190061142785,4313.748190895489,4937.241442807155,131394.5,1.1439646634200158,1.0,0.0
12,1,13658.457940330301,2731.2599520502845,3182.7437452806043,8400.358806796416,4806.615340303557,131394.5,1.1439646634200158,1.0,0.0
13,2,1605.1524311271194,5312.281638198852,4385.875457128423,333.25374230875195,4248.773424151558,129344.03144573723,1.1261125952624405,1.0,0.0
14,3,2003.7093406174808,1718.6932234654378,537.1329996804416,368.9595004132611,4834.219075476126,127326.1224342503,1.1085440014237498,1.0,0.0
15,4,9356.844460816916,278.4812133595551,2411.95500868019,595.0959684084856,6664.158183957447,127290.23894738065,0.9678497841816937,1.0,0.0
16,5,13219.917450390625,4171.113676831679,-8.48475065974344,7365.364578732411,5929.890246530291,131394.5,0.9990564831937447,1.0,0.0
17,6,1995.2660332807543,4018.3050074402126,-26.395243089616997,595.0959684084856,5604.759184885566,131234.61113051654,0.9978407701186315,1.0,0.0
18,7,17659.294352822417,5488.804292799818,4552.045674805879,13602.58388424839,4833.580217084503,131394.5,0.9990564831937447,1.0,0.0
19,8,8609.00401242397,3710.994521028915,2384.896200042509,4980.4053412368685,4954.696992173513,131394.5,0.9990564831937447,1.0,0.0
20,9,4947.375951770044,2965.5275471834175,2092.508499882533,1176.1868132239724,4644.208185846965,131394.5,1.1439646634200158,1.0,0.0
21,10,6181.663567427393,4215.290415956202,3203.927973110316,2368.671111537441,4824.354898735845,131394.5,1.1439646634200158,1.0,0.0
22,11,17009.365357596962,992.4734519266349,4611.708432002139,5859.950780858211,7530.179596663236,131394.5,1.1439646634200158,1.0,0.0
23,12,11423.432670276889,4186.36007572239,2375.1555039523228,8222.047002576837,5012.5902394701325,131394.5,1.1439646634200158,1.0,0.0
24,1,7079.920542819623,2385.7069826069637,604.5031697525119,3838.5252534632664,5022.599102210815,131394.5,1.1439646634200158,1.0,0.0
25,2,4393.568219152591,4337.371234081482,3777.3450719712127,649.9784245718347,4303.615956691034,131394.5,1.1439646634200158,1.0,0.0
26,3,5029.128936789173,4124.686700389575,1383.5586972734309,2290.724780418628,5479.532159486689,131394.5,1.1439646634200158,1.0,0.0
27,4,4667.359879346999,3312.243056679785,-3.1302481269231066,2325.293497622426,5657.439686531283,131394.5,0.9990564831937447,1.0,0.0
28,5,7191.554746543964,2457.8715266998333,2503.254153478949,2437.5108514041694,4708.6612683606745,131394.5,0.9990564831937447,1.0,0.0
29,6,11234.558987022208,5304.817394905345,2115.9034212511615,8898.489468025491,5524.983492650895,131394.5,0.9990564831937447,1.0,0.0
30,7,539.4656082043908,884.5199719675293,2106.3347579032998,614.9325006887685,6023.977290371465,124073.2410312084,0.9433893796398547,1.0,0.0
31,8,907.1806563708316,3961.795058204909,-16.68202665579156,614.9325006887685,5998.184415461405,122345.78185628976,0.9302546648066237,1.0,0.0
32,9,3336.1380307614763,7802.03906573428,1973.8501093565574,357.05758104509135,6201.965968991369,124951.0852933925,1.0878661301014994,1.0,0.0
33,10,6356.175453885913,4016.0506864164927,4522.503176615093,368.9595004132611,5148.899020997962,125282.94973566859,1.0907554534370227,1.0,0.0
34,11,6755.214335092117,1896.8935103410622,4350.1879785720375,357.05758104509135,6757.665520343911,122470.14650114073,1.0662662434209764,1.0,0.0
35,12,882.7104952949019,2527.305557739135,1035.149026133542,368.9595004132611,5124.877918762133,119351.17610886582,1.0391114392623872,1.0,0.0
36,1,6531.822864193115,1505.8750061125902,1055.5992669587868,368.9595004132611,4870.4526937144365,121093.86251808505,1.0542838526554068,1.0,0.0
37,2,6393.2684288710525,3823.0165457969997,29.666470590382232,333.25374230875195,5306.382487093883,125640.84479276008,1.0938714080509933,1.0,0.0
38,3,2246.8985305740475,2445.550512411093,4654.685710377351,368.9595004132611,7293.210115300088,118016.43850965453,1.0274907652734775,1.0,0.0
39,4,10971.945529784807,4505.878330988475,13.751425974987797,595.0959684084856,6388.164797472875,126497.25017857148,0.9618203037195844,1.0,0.0
40,5,7052.736358471333,4080.0492598961573,4174.531414263431,614.9325006887685,4919.735673601793,127920.83620838501,0.9726445227886416,1.0,0.0
41,6,4980.031319171483,3924.816402934259,3175.0474403387925,595.0959684084856,4905.898702249914,128149.64181949355,0.974384243470779,1.0,0.0
42,7,638.8821105604618,1428.0132161165093,329.07655399852956,614.9325006887685,5209.646330286511,124062.88176119671,0.9433106130562737,1.0,0.0
43,8,11461.478339881176,2414.81449636913,0.6148964995081769,870.9353449854634,5673.124355962024,131394.5,0.9990564831937447,1.0,0.0
44,9,9966.967042062786,117.67361909316969,2445.077486401424,658.1093567536936,6981.453818000833,131394.5,1.1439646634200158,1.0,0.0
45,10,11687.65698019131,5458.256062136003,2304.039385277196,9114.50331277945,5727.370344270656,131394.5,1.1439646634200158,1.0,0.0
46,11,9279.8272334188,2112.552405330265,4084.0456413613865,767.050446935863,6541.283550451809,131394.5,1.1439646634200158,1.0,0.0
47,12,271.14800291211213,3869.19430888191,2502.070347562636,368.9595004132611,5231.186177294177,127432.62628652394,1.1094712597452103,1.0,0.0
48,1,4764.471746913239,1637.6066380625125,2125.917385966226,368.9595004132611,5325.905519622924,126013.92226549727,1.0971195458766205,1.0,0.0
49,2,10201.13838748854,2057.7368400419364,0.4296302765433211,1912.0164589108044,4965.851403840408,131394.5,1.1439646634200158,1.0,0.0
50,3,6188.509667998857,2433.9712124251237,871.7890065253596,2302.520169111711,5448.171704786902,131394.5,1.1439646634200158,1.0,0.0
51,4,8441.283874627698,4551.799257294129,2698.52210522964,4813.647441040436,5480.9135856517505,131394.5,0.9990564831937447,1.0,0.0
52,5,11937.397465545886,3921.891590231622,4060.571365960117,6669.876362905827,5128.841326911566,131394.5,0.9990564831937447,1.0,0.0
53,6,3393.80235760926,965.8187379132432,4602.245408396033,595.0959684084856,8901.178214229141,121655.60150448885,0.9250068868932434,1.0,0.0
54,7,4649.809088792881,2790.491176617128,3773.5425353933097,614.9325006887685,6203.306284272511,118504.12044954428,0.9010446390091643,1.0,0.0
55,8,97.16239057891349,3627.7786255316023,839.7810456572624,614.9325006887685,6022.196085757562,114752.15183355121,0.8725165912556636,1.0,0.0
56,9,6860.673625471131,2078.3002544248156,1951.0190346393065,357.05758104509135,4880.441462424145,116502.6076353386,1.0143108450590725,1.0,0.0
57,10,1302.1301363477323,3387.010264331737,1444.927248656575,368.9595004132611,5601.454427134544,113776.4068598137,0.9905756251481269,1.0,0.0
58,11,5378.423144490141,1863.3090057652444,3060.5198373745807,357.05758104509135,6090.349730369267,111510.21186128013,0.970845370086145,1.0,0.0
59,12,5259.717139874377,2212.4266126615257,505.8767063182604,368.9595004132611,5542.919435534797,112564.59997154972,0.9800252272314488,1.0,0.0
60,1,4627.839856600186,564.2535516031348,534.2438345508563,368.9595004132611,5058.771296973011,111794.71874781592,0.9733223826300231,1.0,0.0
61,2,4748.43895682655,2894.6812348293315,4080.013751002247,333.25374230875195,5712.924568813956,109311.64687734685,0.9517039246538609,1.0,0.0
62,3,11554.02360377549,1494.1841811861086,814.0986240808561,368.9595004132611,5344.824788789124,115831.97174902522,1.008472063710052,1.0,0.0
63,4,4937.2621751742945,4766.924455643864,2230.941588265923,595.0959684084856,5987.776867087541,116722.34395608144,0.8874969231047979,1.0,0.0
