mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,7294.539619100622,4015.6208404498175,-4.03300927800592,6149.325006887686,5207.391575656634,131476.06688628413,1.1446748121371557,1.0,0.0
2,3576.7714750610835,2708.4564307356195,403.410662661714,5554.2290384791995,4420.4567189823565,127383.19837195754,1.1090409237140177,1.0,0.0
3,10273.879805002045,4372.645662767827,4500.172699083792,6149.325006887686,4474.280351054627,126905.94578270128,1.1048858023228267,1.0,0.0
4,10240.110378650066,7947.107312968845,1.9681196003366495,595.0959684084856,5781.163529088186,138714.9358572232,1.0547173282288322,0.85,15.0
5,8188.192874525425,1825.019784333912,241.58923533392954,7736.247589310313,4858.98311384988,135891.3285775884,1.033248064608877,1.0,0.0
6,4980.411049100027,1853.357137054525,3772.3573564026738,4760.767747267885,6005.484226694337,128186.48743337806,0.9746643986479635,1.0,0.0
7,4292.113196265568,6834.209514176531,-2.1873360233585117,614.9325006887685,6514.461867704358,132185.6031114504,1.0050716260830532,1.0,0.0
8,6892.1364335625585,1583.0836178467434,882.8704782747081,1190.1919368169713,4614.90044387742,133972.8603038906,1.018661014415457,1.0,0.0
9,6230.823328510114,3986.91423575714,1476.3533058318426,5950.959684084857,4922.631368114622,131840.65351012652,1.1478490257795175,1.0,0.0
10,6973.204597930566,4655.539636184549,817.2866742196202,6149.325006887686,5367.177194549899,131135.60886858442,1.1417106702466924,1.0,0.0
11,47.53131585987996,1960.590859569842,2.26423922192771,5950.959684084857,4777.746955509437,122412.7601651979,1.0657666186993806,1.0,0.0
12,4181.580671802452,3844.0563365591806,3588.181528939487,6149.325006887686,4512.755945786028,116188.13469194634,1.011572937956093,1.0,0.0
1,5052.556969531859,3087.074740477852,2404.905489830824,1388.5572596197999,4632.47704212344,115901.82661038198,1.0090802436031239,1.0,0.0
2,3423.772967327008,4711.241850355669,628.625572326564,1190.1919368169713,5046.127549170013,117171.8963697511,1.0201378976510227,1.0,0.0
3,1840.4063210429595,4631.582589087702,3957.939443994459,2380.3838736339426,4707.646987411945,112597.91497484142,0.980315278843407,1.0,0.0
4,10943.794989260387,4814.150077654544,57.15387202343845,595.0959684084856,5188.214209781684,122515.39599154275,0.9315443238217712,0.85,15.0
5,7054.291627146718,2999.5182217917027,8992.424235812447,614.9325006887685,9716.19957348238,113245.64953049755,0.8610619193111602,0.85,15.0
6,347.28692408592894,4947.3124465450965,3903.109378651119,595.0959684084856,4723.334323048794,109318.70923102018,0.8312034764896749,1.0,0.0
7,11397.28911103869,2366.740891398993,3317.1604949411267,614.9325006887685,5704.508582094438,113446.13765573353,0.8625863283337628,1.0,0.0
8,7237.579566973189,1744.9644219487673,871.4215572972462,614.9325006887685,4844.237414538593,116098.09017213088,0.8827504170485015,1.0,0.0
9,4686.959366319282,1231.261133129301,4226.969277960467,1388.5572596197999,7351.713349382187,109049.070784617,0.9494178489692481,1.0,0.0
10,11204.721811221238,3911.7738907314197,134.59519092491246,368.9595004132611,5677.784543985737,117984.22725124576,1.0272103232353107,1.0,0.0
11,11756.441819171423,1376.5108175264031,-2.3071299182629446,3173.845164845256,4817.004447686464,123128.63740533014,1.0719992864751087,1.0,0.0
12,6934.258512993023,707.5916095774155,4514.91194180178,6149.325006887686,7745.133305545057,112361.11727366607,0.9782536384967889,1.0,0.0
