mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,229.3325179156435,820.5963005951198,2089.593770495412,16865.0197446965,5270.733034330449,108343.17226898839,0.943272059321738,1.0,0.0
2,10057.238739486613,3414.29396021289,38.185863287668326,333.25374230875195,4756.996292574832,116686.26907051665,1.0159098632209946,1.0,0.0
3,3646.024685322256,2009.5833294869517,4927.125615141325,2725.5395353108647,7498.984806880201,107190.22712799348,0.9332341315533764,1.0,0.0
4,6917.994679209563,2531.554526213309,713.6938686918729,595.0959684084856,4885.06714789867,110445.91934841732,0.8397742049121522,1.0,0.0
5,4842.6707622245085,2774.5989266771358,995.2343930767238,614.9325006887685,5027.439446868768,111425.5826966847,0.8472230632694945,1.0,0.0
6,7122.773940938851,2694.52344800398,13.740599869430298,595.0959684084856,5118.608698577836,115515.43481877177,0.8783202041534339,1.0,0.0
7,5043.930102133827,2056.9312113566994,1810.0597451656504,614.9325006887685,4464.281667061145,115727.02221934673,0.8799290063811264,1.0,0.0
8,11267.183509575441,3853.5012561794574,-12.86932880821405,614.9325006887685,5628.066306912524,124617.57750630855,0.9475282354099793,1.0,0.0
9,11074.8534883955,3825.0105586551945,2377.141465348788,10961.667738084287,4640.901001531984,121537.73134839417,1.0581483238248028,1.0,0.0
10,7581.709181928634,5048.421114673518,3798.3323693877464,7438.6996051060705,4724.293955410667,118206.53571509184,1.0291458154135913,1.0,0.0
11,3786.293788477736,1252.8059380604827,3664.486090133374,3891.927633391497,6412.246814844877,109276.97490326031,0.9514020587982428,1.0,0.0
12,12603.825092356548,3712.347331770463,1788.095858902132,368.9595004132611,4937.241442807155,118498.85052526479,1.0316908063639902,1.0,0.0
1,13658.457940330301,2554.9573312432476,2977.297880184982,5082.119570208468,4806.615340303557,121846.23300614132,1.0608342429087008,1.0,0.0
2,1605.1524311271194,5081.547888880901,4155.141707810486,7402.993847001561,4248.773424151558,112726.02434718574,0.981430642081707,1.0,0.0
3,2003.7093406174808,1544.818141947384,468.04892622654734,368.9595004132611,4834.219075476126,110603.32432763468,0.9629497025187315,1.0,0.0
4,9356.844460816916,242.66398259796551,2101.7382149134937,595.0959684084856,6664.158183957447,110841.84040377013,0.8427845858427324,1.0,0.0
5,13219.917450390625,3700.4049184110627,-7.39347319562512,614.9325006887685,5929.890246530291,121224.73349854838,0.9217307872487713,1.0,0.0
6,1995.2660332807543,3758.923726840556,-24.69143216899829,595.0959684084856,5604.759184885566,120803.75953754464,0.9185299168546792,1.0,0.0
7,17659.294352822417,5186.135563438307,4258.2114749898465,614.9325006887685,4833.580217084503,133942.4652610423,1.0184299060767172,1.0,0.0
8,8609.00401242397,3714.193907049339,2384.8962000426836,4125.998714298835,4954.696992173513,134800.0712740006,1.0249507029690677,1.0,0.0
9,4947.375951770044,2975.314841940446,2092.5084998823004,20387.987877674736,4644.208185846965,115598.0575043071,1.0064355277041452,1.0,0.0
10,6181.663567427393,3943.1937423178024,2997.114667730333,1547.2495178620632,4824.354898735845,116354.19572972406,1.0130187211448,1.0,0.0
11,17009.365357596962,928.4093665854016,4314.023005776355,2713.637615942695,7530.179596663236,119734.13023552414,1.0424455665554473,1.0,0.0
12,11423.432670276889,3916.1308533311385,2221.839398007811,6260.409587657269,5012.5902394701325,121578.85453399697,1.0585063560953838,1.0,0.0
1,7079.920542819623,2231.7097795228765,565.4825364239514,7438.6996051060705,5022.599102210815,117863.70361259863,1.0261610039432618,1.0,0.0
2,4393.568219152591,4057.394252979255,3533.5177367591823,3868.1237946551573,4303.615956691034,114609.4085966251,0.9978280181438745,1.0,0.0
3,5029.128936789173,3858.438489654436,1294.2500892859534,368.9595004132611,5479.532159486689,116354.23427388282,1.0130190567231965,1.0,0.0
