mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
1,229.3325179156435,820.5963005951198,2089.593770495412,16865.0197446965,5270.733034330449,108343.17226898839,0.943272059321738,1.0,0.0
2,10057.238739486613,3414.29396021289,38.185863287668326,333.25374230875195,4756.996292574832,116686.26907051665,1.0159098632209946,1.0,0.0
3,3646.024685322256,2009.5833294869517,4927.125615141325,2725.5395353108647,7498.984806880201,107190.22712799348,0.9332341315533764,1.0,0.0
4,6917.994679209563,2531.554526213309,713.6938686918729,595.0959684084856,4152.307075713869,111178.67942060213,0.8453457372117671,0.85,14.999999999999986
5,4842.6707622245085,2801.896280426212,995.2343930767383,614.9325006887685,4273.3235298384525,112939.75603964888,0.8587360618726896,0.85,15.0
6,7122.773940938851,2805.8494267017522,13.740599869590369,595.0959684084856,5118.608698577836,117140.93414043357,0.8906796684821026,1.0,0.0
7,5043.930102133827,2056.9312113570486,1810.0597451659414,614.9325006887685,4464.281667061145,117352.5215410086,0.8922884707097954,1.0,0.0
8,11267.183509575441,3853.50125617953,-12.869328808112186,614.9325006887685,5628.066306912524,126243.07682797038,0.9598876997386482,1.0,0.0
9,11074.8534883955,3864.5100777325133,2416.6409844257723,12139.957755533089,4640.901001531984,121984.94065260755,1.0620418782823544,1.0,0.0
10,7581.709181928634,5079.280405910526,3829.1916606246814,7438.6996051060705,4724.293955410667,118653.74501930528,1.0330393698711433,1.0,0.0
11,3786.293788477736,1252.8059380607156,3664.4860901334177,5070.217650840298,6412.246814844877,108545.89419002514,0.9450370244775601,1.0,0.0
12,12603.825092356548,3712.34733177039,1788.0958589020593,368.9595004132611,4937.241442807155,117767.76981202961,1.0253257720433075,1.0,0.0
1,13658.457940330301,2554.9573312432476,2977.2978801847785,3903.8295527596665,4806.615340303557,122293.44231035514,1.0647277973662561,1.0,0.0
2,1605.1524311271194,5112.407180117778,4186.000999047348,8581.283864450344,4248.773424151558,111994.94363395078,0.9750656077610262,1.0,0.0
3,2003.7093406174808,1497.6412140650646,468.04892622669286,368.9595004132611,4834.219075476126,109825.06668651725,0.9561739300132236,1.0,0.0
4,9356.844460816916,242.6639825978782,2101.7382149131736,595.0959684084856,5664.53445636383,111063.20649024656,0.8444677401897828,0.85,15.0
5,13219.917450390625,3716.6803312241245,-7.39347319562512,614.9325006887685,5040.406709550747,122351.85853481742,0.9303008687579256,0.85,15.0
6,1995.2660332807543,3822.461510402645,-24.69143216907105,595.0959684084856,5604.759184885566,121994.42235737585,0.9275831071286261,1.0,0.0
7,17659.294352822417,5268.296221491852,4331.537603497898,614.9325006887685,4833.580217084503,135141.96261041897,1.0275502695886487,1.0,0.0
8,8609.00401242397,3784.6615972494765,2384.8962000423926,5296.354118835523,4954.696992173513,134899.680909041,1.0257080836179966,1.0,0.0
9,4947.375951770044,2981.166677217203,2092.508499882708,20387.987877674736,4644.208185846965,115703.51897462385,1.0073537106980657,1.0,0.0
10,6181.663567427393,3943.193742317788,2997.114667730144,1547.2495178620632,4824.354898735845,116459.65720004098,1.013936904138722,1.0,0.0
11,17009.365357596962,928.4093665859691,4314.023005776617,2713.637615942695,7530.179596663236,119839.59170584135,1.0433637495493717,1.0,0.0
12,11423.432670276889,3916.1308533309784,2221.8393980077526,6260.409587657269,5012.5902394701325,121684.31600431407,1.0594245390893073,1.0,0.0
1,7079.920542819623,2231.7097795229347,565.4825364237768,7438.6996051060705,5022.599102210815,117969.16508291596,1.0270791869371871,1.0,0.0
2,4393.568219152591,4057.394252979022,3533.5177367589204,3868.1237946551573,4303.615956691034,114714.87006694246,0.9987462011378002,1.0,0.0
3,5029.128936789173,3858.4384896545525,1294.2500892860699,368.9595004132611,5479.532159486689,116459.69574420017,1.0139372397171222,1.0,0.0
